Código;Estudios;Lugar;Universitat;Àmbit;PAU y FP;Mayores de 25;Titulados Universitarios;Mayores de 45
21052;Pedagogia ;Cerdanyola del Vallès ;UAB;Ciencias de la Salud;  8,262;  5,000;  5,000;  7,000
61007;Ciències de l'Activitat Física i de l'Esport ;Lleida ;UdL;Ciencias de la Salud;  8,250;  5,000;  5,000;  5,000
11070;Dret / Gestió i Administració Pública ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  8,240;  5,000;  6,600;  5,000
41021;"Infermeria ""Escola Superior d'Infermeria del Mar"" ";Barcelona ;UPF;Ciencias de la Salud;  8,230;  5,344;  7,300;  5,000
31054;Enginyeria Electrònica Industrial i Automàtica ;Barcelona / Sant Adrià de Besòs ;UPC;Ingeniería y Arquitectura;  8,228;  5,000;  5,000;  5,000
31052;Enginyeria de l'Energia ;Barcelona / Sant Adrià de Besòs ;UPC;Ingeniería y Arquitectura;  8,209;  5,000;  5,000;  5,000
41041;"Administració d'Empreses i Gestió de la Innovació / Màrqueting i Comunitats Digitals ""Tecnocampus"" ";Mataró ;UPF;Ciencias Sociales y Jurídicas;  8,200;  5,000;  5,000;  5,000
81018;Educació Primària ;Girona ;UdG;Ciencias Sociales y Jurídicas;  8,200;  6,063;  6,570;  5,000
41019;Enginyeria Informàtica ;Barcelona ;UPF;Ingeniería y Arquitectura;  8,150;  5,000;  5,000;  5,000
11018;Enginyeria Informàtica ;Barcelona ;UB;Ingeniería y Arquitectura;  8,148;  5,000;  6,600;  5,000
81052;Administració i Direcció d'Empreses / Economia ;Girona ;UdG;Ciencias Sociales y Jurídicas;  8,140;  5,000;  5,000;  5,000
81060;Economia / Filosofia ;Girona ;UdG;Ciencias Sociales y Jurídicas;  8,118;  5,000;  5,000;  5,000
81059;Disseny i Desenvolupament de Videojocs ;Girona ;UdG;Ingeniería y Arquitectura;  8,084;  5,000;  5,000;  5,000
21086;Dret ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  8,044;  5,438;  6,710;  5,000
41031;"Infermeria ""Tecnocampus"" ";Mataró ;UPF;Ciencias de la Salud;  8,041;  5,813;  7,080;  7,000
21074;Estudis d'Anglès i Espanyol ;Cerdanyola del Vallès ;UAB;Artes y Humanidades;  8,040;  6,438;  7,100;  5,000
11010;Criminologia ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  8,035;  5,875;  5,000;  5,000
81033;Psicologia ;Girona ;UdG;Ciencias de la Salud;  8,008;  5,063;  6,500;  5,000
61020;Psicologia ;Lleida ;UdL;Ciencias de la Salud;  7,988;  5,250;  6,470;  5,833
21105;Enginyeria de Sistemes de Telecomunicació / Enginyeria Informàtica ;Cerdanyola del Vallès ;UAB;Ingeniería y Arquitectura;  7,980;  5,000;  5,000;  5,000
21102;Educació Primària (Anglès);Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  7,930;  5,000;  6,870;  5,000
71011;Educació Primària ;Tarragona ;URV;Ciencias Sociales y Jurídicas;  7,893;  6,188;  5,000;  6,167
81053;Administració i Direcció d'Empreses / Dret ;Girona ;UdG;Ciencias Sociales y Jurídicas;  7,843;  5,000;  5,000;  5,000
31042;Multimèdia ;Terrassa ;UPC;Ciencias Sociales y Jurídicas;  7,840;  5,000;  5,000;  5,000
11005;Ciències Ambientals ;Barcelona ;UB;Ciencias;  7,833;  5,000;  5,000;  5,000
11054;Ciència i Tecnologia dels Aliments ;Santa Coloma de Gramenet ;UB;Ciencias de la Salud;  7,808;  5,000;  5,000;  7,000
21064;Traducció i Interpretació -Anglès- ;Cerdanyola del Vallès ;UAB;Artes y Humanidades;  7,782;  5,000;  5,000;  5,000
71012;Educació Social ;Tarragona ;URV;Ciencias Sociales y Jurídicas;  7,776;  7,125;  7,690;  5,000
11046;Podologia ;L'Hospitalet de Llobregat ;UB;Ciencias de la Salud;  7,771;  5,125;  7,520;  5,000
21048;Logopèdia ;Cerdanyola del Vallès ;UAB;Ciencias de la Salud;  7,756;  5,375;  7,400;  8,667
21024;Ciències Ambientals ;Cerdanyola del Vallès ;UAB;Ciencias;  7,744;  5,000;  5,000;  5,000
41037;"Ciències de l'Activitat Física i de l'Esport / Fisioteràpia ""Tecnocampus"" ";Mataró ;UPF;Ciencias de la Salud;  7,720;  5,000;  5,000;  5,000
81017;Educació Infantil ;Girona ;UdG;Ciencias Sociales y Jurídicas;  7,710;  5,000;  5,740;  5,000
31027;Enginyeria Mecànica ;Barcelona / Sant Adrià de Besòs ;UPC;Ingeniería y Arquitectura;  7,688;  5,000;  5,000;  5,000
71055;Administració i Direcció d'Empreses / Dret ;Tarragona / Reus ;URV;Ciencias Sociales y Jurídicas;  7,678;  7,438;  5,000;  5,000
71022;Psicologia ;Tarragona ;URV;Ciencias de la Salud;  7,622;  5,000;  5,000;  5,000
31093;"Disseny, Animació i Art Digital ""CITM"" ";Terrassa ;UPC;Artes y Humanidades;  7,585;  5,000;  7,290;  5,000
61009;Comunicació i Periodisme Audiovisuals ;Lleida ;UdL;Artes y Humanidades;  7,584;  5,000;  5,000;  5,000
21067;Estudis d'Àsia Oriental -Xinès- ;Cerdanyola del Vallès ;UAB;Artes y Humanidades;  7,572;  7,438;  7,000;  5,000
11045;Pedagogia ;Barcelona ;UB;Ciencias de la Salud;  7,571;  5,000;  5,000;  5,000
11051;Treball Social ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  7,528;  5,250;  5,000;  5,167
11009;"Cinema i mitjans audiovisuals ""ESCAC"" ";Terrassa ;UB;Artes y Humanidades;  7,516;  5,000;  5,000;  5,000
81043;Pedagogia ;Girona ;UdG;Ciencias de la Salud;  7,490;  5,500;  7,340;  5,000
71020;Pedagogia ;Tarragona ;URV;Ciencias de la Salud;  7,488;  5,000;  8,120;  5,000
41006;Traducció i Interpretació -Anglès- ;Barcelona ;UPF;Artes y Humanidades;  7,470;  5,000;  5,000;  5,000
81013;Criminologia ;Girona ;UdG;Ciencias Sociales y Jurídicas;  7,464;  7,625;  5,000;  5,000
